@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
58,'2023/10/24 14:25:37:246',2,0.468039,258.398438,0.314703,387.597656,0.245174,322.998047,0.239267,279.931641,0.227191,301.464844,0.153202,344.53125,0.152888,215.332031,0.143944,193.798828,0.120176,366.064453,0.090376,495.263672,0.079329,?
59,'2023/10/24 14:25:37:379',2,0.417381,258.398438,0.302591,279.931641,0.141711,236.865234,0.12762,366.064453,0.093601,344.53125,0.078022,215.332031,0.053576,43.066406,0.052171,172.265625,0.04572,301.464844,0.045068,322.998047,0.040599,?
60,'2023/10/24 14:25:37:396',2,0.417381,258.398438,0.302591,279.931641,0.141711,236.865234,0.12762,366.064453,0.093601,344.53125,0.078022,215.332031,0.053576,43.066406,0.052171,172.265625,0.04572,301.464844,0.045068,322.998047,0.040599,?
61,'2023/10/24 14:25:42:098',2,0.424799,1012.060547,0.114345,1378.125,0.089456,1033.59375,0.087352,3854.443359,0.068532,1356.591797,0.063754,2971.582031,0.058073,2820.849609,0.052505,495.263672,0.050779,279.931641,0.050413,990.527344,0.049936,?
62,'2023/10/24 14:25:42:115',2,0.424799,1012.060547,0.114345,1378.125,0.089456,1033.59375,0.087352,3854.443359,0.068532,1356.591797,0.063754,2971.582031,0.058073,2820.849609,0.052505,495.263672,0.050779,279.931641,0.050413,990.527344,0.049936,?
63,'2023/10/24 14:25:44:981',2,0.412713,495.263672,0.04604,473.730469,0.044216,516.796875,0.04421,452.197266,0.040223,3746.777344,0.039893,538.330078,0.039412,3768.310547,0.038035,3725.244141,0.037717,215.332031,0.036669,430.664063,0.035808,?
64,'2023/10/24 14:25:44:998',2,0.412713,495.263672,0.04604,473.730469,0.044216,516.796875,0.04421,452.197266,0.040223,3746.777344,0.039893,538.330078,0.039412,3768.310547,0.038035,3725.244141,0.037717,215.332031,0.036669,430.664063,0.035808,?
65,'2023/10/24 14:25:45:081',2,0.429769,258.398438,0.120927,495.263672,0.095273,882.861328,0.09464,279.931641,0.092161,904.394531,0.084548,301.464844,0.076326,861.328125,0.069944,516.796875,0.068585,473.730469,0.056541,1033.59375,0.055011,?
66,'2023/10/24 14:25:45:097',2,0.408688,279.931641,0.124092,258.398438,0.123956,882.861328,0.109824,495.263672,0.095582,904.394531,0.088245,516.796875,0.064067,473.730469,0.060916,861.328125,0.060401,1033.59375,0.057241,322.998047,0.057111,?
67,'2023/10/24 14:25:53:964',2,0.411252,0,0.373763,0,0.373763,0,0.373763,0,0.373763,0,0.373763,0,0.373763,0,0.373763,0,0.373763,0,0.373763,0,0.373763,?
