@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
106,'2023/10/22 16:28:21:466',3,0.437965,0,0.028048,0,0.028048,0,0.028048,0,0.028048,0,0.028048,?,?,?
107,'2023/10/22 16:28:21:475',3,0.437965,0,0.028048,0,0.028048,0,0.028048,0,0.028048,0,0.028048,?,?,?
108,'2023/10/22 16:28:21:493',3,0.437965,0,0.028048,0,0.028048,0,0.028048,0,0.028048,0,0.028048,?,?,?
109,'2023/10/22 16:28:21:508',3,0.354566,0,0.048458,0,0.048458,0,0.048458,0,0.048458,0,0.048458,?,?,?
110,'2023/10/22 16:28:21:521',3,0.287048,0,0.030222,0,0.030222,0,0.030222,0,0.030222,0,0.030222,?,?,?
111,'2023/10/22 16:28:21:537',3,0.287048,0,0.030222,0,0.030222,0,0.030222,0,0.030222,0,0.030222,?,?,?
112,'2023/10/22 16:28:22:866',3,0.452009,1464.257813,0.015689,1227.392578,0.0153,1894.921875,0.015112,2131.787109,0.014932,2024.121094,0.014905,?,?,?
113,'2023/10/22 16:28:22:881',3,0.434183,1894.921875,0.018182,1464.257813,0.016986,1959.521484,0.016475,2131.787109,0.016366,2024.121094,0.015628,?,?,?
114,'2023/10/22 16:28:22:897',3,0.355058,0,0.033053,0,0.033053,0,0.033053,0,0.033053,0,0.033053,?,?,?
115,'2023/10/22 16:28:22:916',3,0.308416,0,0.026926,0,0.026926,0,0.026926,0,0.026926,0,0.026926,?,?,?
116,'2023/10/22 16:28:22:937',3,0.27061,0,0.022134,0,0.022134,0,0.022134,0,0.022134,0,0.022134,?,?,?
117,'2023/10/22 16:28:22:946',3,0.27061,0,0.022134,0,0.022134,0,0.022134,0,0.022134,0,0.022134,?,?,?
118,'2023/10/22 16:28:22:964',3,0.266203,2153.320313,0.02644,1270.458984,0.015323,0,0.0145,0,0.0145,0,0.0145,?,?,?
119,'2023/10/22 16:28:22:980',3,0.266203,2153.320313,0.02644,1270.458984,0.015323,0,0.0145,0,0.0145,0,0.0145,?,?,?
120,'2023/10/22 16:28:23:067',3,0.432739,0,0.032421,0,0.032421,0,0.032421,0,0.032421,0,0.032421,?,?,?
121,'2023/10/22 16:28:23:084',3,0.379693,0,0.055348,0,0.055348,0,0.055348,0,0.055348,0,0.055348,?,?,?
122,'2023/10/22 16:28:23:097',3,0.304314,0,0.042049,0,0.042049,0,0.042049,0,0.042049,0,0.042049,?,?,?
